year,month,day_mean,day_sum,Carbon intensity gCO₂eq/kWh (direct)_mean,Carbon intensity gCO₂eq/kWh (direct)_sum,Carbon intensity gCO₂eq/kWh (Life cycle)_mean,Carbon intensity gCO₂eq/kWh (Life cycle)_sum,Carbon-free energy percentage (CFE%)_mean,Carbon-free energy percentage (CFE%)_sum,Renewable energy percentage (RE%)_mean,Renewable energy percentage (RE%)_sum,Data estimated_mean,Data estimated_sum,estimated_hour_flag_mean,estimated_hour_flag_sum,hourly_row_count_mean,hourly_row_count_sum,estimated_hour_share_mean,estimated_hour_share_sum,hour_mean,hour_sum,day_of_week_mean,day_of_week_sum,is_weekend_mean,is_weekend_sum,carbon_intensity_gap_mean,carbon_intensity_gap_sum,cfe_re_gap_mean,cfe_re_gap_sum,row_count_in_month_count
2021,11,15.5,465,677.7882083333334,20333.64625,734.2050972222222,22026.152916666666,10.414541666666667,312.43625,9.028194444444443,270.8458333333333,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,2.8333333333333335,85,0.26666666666666666,8,56.4168888888889,1692.506666666667,1.3863472222222224,41.59041666666667,30
2021,12,16.0,496,558.0104301075269,17298.323333333334,608.5214650537634,18864.165416666667,25.31909946236559,784.8920833333333,23.673911290322582,733.89125,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,3.0,93,0.25806451612903225,8,50.511034946236556,1565.8420833333332,1.6451881720430117,51.00083333333336,31
2022,1,16.0,496,579.2105107526882,17955.525833333333,630.363561827957,19541.270416666666,23.15741935483871,717.88,21.05143817204301,652.5945833333333,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,3.064516129032258,95,0.3225806451612903,10,51.15305107526881,1585.7445833333331,2.1059811827956993,65.28541666666668,31
2022,2,14.5,406,640.701369047619,17939.638333333332,694.9273065476191,19457.964583333334,15.355505952380952,429.95416666666665,13.710758928571428,383.90125,0.0,0.0,0.0,0,24.0,672,0.0,0.0,0.0,0,3.0,84,0.2857142857142857,8,54.22593750000001,1518.3262500000003,1.6447470238095236,46.05291666666666,28
2022,3,16.0,496,663.907311827957,20581.126666666667,720.5224865591398,22336.197083333333,11.841411290322581,367.08375,10.411236559139786,322.74833333333333,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,2.903225806451613,90,0.25806451612903225,8,56.615174731182805,1755.070416666667,1.4301747311827961,44.33541666666668,31
2022,4,15.5,465,666.4521944444444,19993.565833333334,720.6196111111111,21618.588333333333,12.54476388888889,376.34291666666667,11.30625,339.1875,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,3.1,93,0.3,9,54.16741666666666,1625.0224999999998,1.238513888888889,37.15541666666667,30
2022,5,16.0,496,663.3393548387097,20563.52,717.6218413978495,22246.277083333334,13.03877688172043,404.20208333333335,11.732782258064516,363.71625,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,2.935483870967742,91,0.2903225806451613,9,54.28248655913979,1682.7570833333334,1.305994623655914,40.48583333333333,31
2022,6,15.5,465,670.7075000000001,20121.225000000002,725.8684305555556,21776.052916666667,11.944347222222223,358.3304166666667,9.85213888888889,295.56416666666667,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,2.966666666666667,89,0.26666666666666666,8,55.16093055555555,1654.8279166666666,2.0922083333333332,62.76624999999999,30
2022,7,16.0,496,634.908561827957,19682.165416666667,688.3398521505376,21338.535416666666,16.41728494623656,508.93583333333333,13.2177688172043,409.75083333333333,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,3.193548387096774,99,0.3225806451612903,10,53.43129032258065,1656.3700000000001,3.1995161290322582,99.185,31
2022,8,16.0,496,622.9204166666667,19310.532916666667,680.8844623655915,21107.418333333335,16.10994623655914,499.40833333333336,13.209919354838709,409.5075,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,2.806451612903226,87,0.25806451612903225,8,57.964045698924735,1796.8854166666667,2.900026881720431,89.90083333333335,31
2022,9,15.5,465,633.0680555555556,18992.041666666668,687.4549722222222,20623.649166666666,16.064819444444446,481.94458333333336,13.763625,412.90875,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,3.033333333333333,91,0.26666666666666666,8,54.38691666666667,1631.6075,2.301194444444445,69.03583333333334,30
2022,10,16.0,496,648.9233870967741,20116.625,704.8107795698925,21849.134166666667,13.815201612903227,428.27125,12.792002688172042,396.5520833333333,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,3.064516129032258,95,0.3225806451612903,10,55.88739247311828,1732.5091666666667,1.0231989247311826,31.71916666666666,31
2022,11,15.5,465,626.1482638888889,18784.447916666668,680.3542916666667,20410.62875,16.613916666666668,498.4175,15.752402777777778,472.57208333333335,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,2.9,87,0.26666666666666666,8,54.20602777777778,1626.1808333333333,0.8615138888888881,25.845416666666644,30
2022,12,16.0,496,529.3913440860216,16411.131666666668,577.2865322580645,17895.8825,29.520188172043014,915.1258333333334,28.851975806451613,894.41125,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,3.096774193548387,96,0.2903225806451613,9,47.895188172043014,1484.7508333333335,0.6682123655913978,20.714583333333334,31
2023,1,16.0,496,539.4821370967742,16723.94625,586.7601747311828,18189.565416666668,28.60319892473118,886.6991666666667,27.743373655913977,860.0445833333333,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,2.935483870967742,91,0.2903225806451613,9,47.278037634408605,1465.6191666666668,0.8598252688172036,26.65458333333331,31
2023,2,14.5,406,550.4362946428571,15412.21625,599.1533184523809,16776.292916666665,26.962678571428572,754.955,26.209017857142857,733.8525,0.0,0.0,0.0,0,24.0,672,0.0,0.0,0.0,0,3.0,84,0.2857142857142857,8,48.71702380952381,1364.0766666666666,0.7536607142857147,21.10250000000001,28
2023,3,16.0,496,580.5525806451614,17997.13,630.9205241935484,19558.53625,23.04447580645161,714.37875,22.59119623655914,700.3270833333333,0.0026881720430107516,0.0833333333333333,0.06451612903225806,2,24.0,744,0.0026881720430107516,0.0833333333333333,0.0,0,3.0,93,0.25806451612903225,8,50.3679435483871,1561.4062500000002,0.4532795698924734,14.051666666666677,31
2023,4,15.5,465,604.8177083333334,18144.53125,656.6562916666667,19699.68875,19.958916666666667,598.7675,18.646708333333333,559.40125,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,3.1666666666666665,95,0.3333333333333333,10,51.83858333333333,1555.1575,1.3122083333333336,39.36625000000001,30
2023,5,16.0,496,518.3560215053764,16069.036666666667,563.2857930107527,17461.859583333335,31.743830645161292,984.05875,31.336048387096774,971.4175,0.016129032258064516,0.49999999999999994,0.3870967741935484,12,24.0,744,0.016129032258064516,0.49999999999999994,0.0,0,2.806451612903226,87,0.25806451612903225,8,44.92977150537635,1392.822916666667,0.4077822580645154,12.641249999999978,31
2023,6,15.5,465,606.2113333333333,18186.34,658.4228333333334,19752.685,19.361916666666666,580.8575,18.277791666666666,548.33375,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,3.033333333333333,91,0.26666666666666666,8,52.21150000000001,1566.3450000000003,1.084125,32.52375,30
2023,7,16.0,496,643.1167876344085,19936.620416666665,697.2138978494623,21613.630833333333,15.03141129032258,465.97375,13.396545698924731,415.29291666666666,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,3.064516129032258,95,0.3225806451612903,10,54.09711021505375,1677.0104166666663,1.6348655913978491,50.680833333333325,31
2023,8,16.0,496,634.1044220430108,19657.237083333333,688.4019758064517,21340.46125,15.720376344086024,487.3316666666667,14.41744623655914,446.94083333333333,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,2.903225806451613,90,0.25806451612903225,8,54.297553763440874,1683.224166666667,1.3029301075268824,40.390833333333354,31
2023,9,15.5,465,637.9254861111111,19137.764583333334,693.6256944444444,20808.770833333332,14.67873611111111,440.3620833333333,12.800611111111111,384.0183333333333,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,3.1,93,0.3,9,55.70020833333331,1671.0062499999992,1.8781250000000003,56.34375000000001,30
2023,10,16.0,496,646.1686290322581,20031.2275,702.4233198924732,21775.122916666667,13.523682795698925,419.2341666666667,12.05399193548387,373.67375,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,2.935483870967742,91,0.2903225806451613,9,56.25469086021506,1743.8954166666667,1.4696908602150542,45.56041666666668,31
2023,11,15.5,465,616.3275833333333,18489.8275,668.6520555555556,20059.56166666667,18.25926388888889,547.7779166666667,17.88445833333333,536.5337499999999,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,2.966666666666667,89,0.26666666666666666,8,52.32447222222224,1569.7341666666673,0.3748055555555561,11.244166666666683,30
2023,12,16.0,496,564.9531586021506,17513.547916666666,614.2895833333333,19042.97708333333,24.96337365591398,773.8645833333334,24.02907258064516,744.90125,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,3.193548387096774,99,0.3225806451612903,10,49.336424731182795,1529.4291666666666,0.9343010752688176,28.963333333333345,31
2024,1,16.0,496,572.6875,17753.3125,622.9767204301074,19312.278333333332,23.60141129032258,731.64375,23.058158602150538,714.8029166666666,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,2.806451612903226,87,0.25806451612903225,8,50.28922043010751,1558.965833333333,0.5432526881720426,16.84083333333332,31
2024,2,15.0,435,633.2558189655173,18364.41875,687.053132183908,19924.540833333333,15.833362068965517,459.1675,15.175301724137931,440.08375,0.0,0.0,0.0,0,24.0,696,0.0,0.0,0.0,0,3.0,87,0.27586206896551724,8,53.79731321839081,1560.1220833333336,0.6580603448275866,19.08375000000001,29
