numeric__Carbon intensity gCO₂eq/kWh (direct),numeric__Carbon intensity gCO₂eq/kWh (Life cycle),numeric__Carbon-free energy percentage (CFE%),numeric__Renewable energy percentage (RE%),numeric__Data estimated,numeric__estimated_hour_flag,numeric__hourly_row_count,numeric__estimated_hour_share,numeric__hour,numeric__day_of_week,numeric__is_weekend,numeric__month,numeric__day,numeric__life_cycle_gap,numeric__non_renewable_clean_gap,numeric__renewable_share_within_cfe,numeric__iqr_outlier_count,numeric__zscore_outlier_count,numeric__isolation_forest_flag,numeric__outlier_consensus_count,numeric__outlier_consensus_flag,categorical__Country_Kosovo,categorical__Zone name_Kosovo,categorical__Zone id_XK,categorical__Data source_Electricity Maps Estimation,categorical__Data source_entsoe.eu,categorical__Data source_kostt.com,categorical__Data estimation method_ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL,categorical__Data estimation method_ESTIMATED_TIME_SLICER_AVERAGE,categorical__Data estimation method_Unknown,categorical__source_file_hourly-2021.csv,categorical__source_file_hourly-2022.csv,categorical__source_file_hourly-2023.csv,categorical__source_file_hourly-2024.csv,categorical__source_file_hourly-2025.csv
0.006862536685480975,-0.0035684917063881533,0.03672269515016193,0.12490001956141676,-0.33162488008603325,-0.3316248800860334,0.0,-0.33162488008603325,0.0,0.49986314492695616,-0.6326979915143225,-1.0217529003924737,0.14457696733576153,-0.17357836862377315,-0.7145033835499673,0.5181306729782744,-0.43906363991276287,-0.3308876817384294,-0.4964034470595059,-0.4997394625513663,-0.45220071663659395,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.5455444660837706,0.5267787424237652,-0.46197755051157846,-0.3998724399904828,3.17540425719445,3.175404257194451,0.0,3.17540425719445,0.0,-0.9997262898539123,-0.6326979915143225,0.1381605569383669,0.4855122351210829,0.15539588381296748,-0.44508918096965644,0.32576803272912436,2.175273989915623,3.0955824894583874,2.01449044305312,2.453413477962533,2.2114073755518593,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.23937434188794646,-0.20167589450765214,0.08344863475338653,0.1095075836337682,-0.33162488008603325,-0.3316248800860334,0.0,-0.33162488008603325,0.0,0.0,-0.6326979915143225,1.0080956499364973,0.37186714585930913,0.4391223814925296,-0.21980978365535273,0.31999363478651327,-0.43906363991276287,-0.3308876817384294,-0.4964034470595059,-0.4997394625513663,-0.45220071663659395,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.22113559055243423,0.2000221473451249,-0.16846512658573545,-0.0496111270857915,-0.33162488008603325,-0.3316248800860334,0.0,-0.33162488008603325,0.0,0.0,-0.6326979915143225,-1.3117312647251838,1.508318038477047,-0.1695652639890157,-0.937096314456771,0.6034961065400197,-0.43906363991276287,-0.3308876817384294,-0.4964034470595059,-0.4997394625513663,-0.45220071663659395,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.013374260516313208,-0.02398640862549061,0.10313544367524169,-0.2418021304796175,-0.33162488008603325,-0.3316248800860334,0.0,-0.33162488008603325,0.0,-0.49986314492695616,-0.6326979915143225,0.1381605569383669,-0.3100033897113337,-0.1944465127247091,2.7656219569033498,-0.8824964767314929,0.43238223669669906,-0.3308876817384294,-0.4964034470595059,0.48464485095326676,-0.45220071663659395,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.3035340894295544,1.3028460503443344,-1.3324537504076683,-1.2039485124586267,-0.33162488008603325,-0.3316248800860334,0.0,-0.33162488008603325,0.0,-0.49986314492695616,-0.6326979915143225,0.7181172856037872,0.14457696733576153,1.1314832586094072,-0.8760751489150774,0.42876212769144484,-0.43906363991276287,-0.3308876817384294,-0.4964034470595059,-0.4997394625513663,-0.45220071663659395,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.7945074180666641,0.7965819356852548,-0.8415895318843566,-0.7530883381196762,-0.33162488008603325,-0.3316248800860334,0.0,-0.33162488008603325,0.0,1.4995894347808685,1.5805329136679627,-1.6017096290578938,-0.9918739252819764,0.732580657911438,-0.6124176600651196,0.3398598576272676,-0.43906363991276287,-0.3308876817384294,-0.4964034470595059,-0.4997394625513663,-0.45220071663659395,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.5706992470715613,0.5664142078586214,-0.5804369978079513,-0.5655198309641843,-0.33162488008603325,-0.3316248800860334,0.0,-0.33162488008603325,0.0,-0.9997262898539123,-0.6326979915143225,-0.15181780739434322,-1.1055190145437501,0.42678208474055934,-0.05094618089846808,0.07174305611459943,-0.43906363991276287,-0.3308876817384294,-0.4964034470595059,-0.4997394625513663,-0.45220071663659395,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.24377919130492862,0.2268323173636153,-0.19473032866083978,-0.07910932473041787,-0.33162488008603325,-0.3316248800860334,0.0,-0.33162488008603325,0.0,-0.49986314492695616,-0.6326979915143225,-0.4417961717270534,-0.8782288360202026,-0.07796615069994901,-0.9079289648896726,0.5889088008486673,-0.43906363991276287,-0.3308876817384294,-0.4964034470595059,-0.4997394625513663,-0.45220071663659395,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.5522588034788192,-0.47086142247421425,0.2243036410935404,0.06194829243936227,-0.33162488008603325,-0.3316248800860334,0.0,-0.33162488008603325,0.0,0.0,-0.6326979915143225,0.1381605569383669,-1.4464542823290716,0.9170831434958422,1.2807735953888082,-0.23410165093125118,-0.43906363991276287,-0.3308876817384294,-0.4964034470595059,-0.4997394625513663,-0.45220071663659395,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.6653136417559286,0.6644248706951781,-0.5995917308129999,-0.7852075387860384,-0.33162488008603325,-0.3316248800860334,0.0,-0.33162488008603325,0.0,1.4995894347808685,1.5805329136679627,-1.3117312647251838,-0.3100033897113337,0.5682440231168482,1.5663065964140883,-0.8807676964703233,-0.43906363991276287,-0.3308876817384294,-0.4964034470595059,-0.4997394625513663,-0.45220071663659395,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-0.49164050894807604,-0.46772647975090514,0.35891884804568636,0.4702529086254025,-0.33162488008603325,-0.3316248800860334,0.0,-0.33162488008603325,0.0,-0.49986314492695616,-0.6326979915143225,1.2980740142692075,-0.4236484789731074,-0.019475150647925727,-0.9393989999489083,0.6205455327358986,-0.43906363991276287,-0.3308876817384294,-0.4964034470595059,-0.4997394625513663,-0.45220071663659395,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.919688078018456,1.9104655436823146,-1.914835026621767,-1.7537396372180039,-0.33162488008603325,-0.3316248800860334,0.0,-0.33162488008603325,0.0,-1.4995894347808685,-0.6326979915143225,0.7181172856037872,-1.673744460852619,1.5249681680504579,-1.0691169493394281,0.5466564549497903,-0.43906363991276287,-0.3308876817384294,2.01449044305312,0.48464485095326676,-0.45220071663659395,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.482365872877921,0.543216797112348,-0.6114425125964262,-0.5026157584425256,-0.33162488008603325,-0.3316248800860334,0.0,-0.33162488008603325,0.0,0.0,-0.6326979915143225,1.0080956499364973,1.2810278599534994,1.4707912554808078,-0.8035405559126875,0.5027667899702102,-0.43906363991276287,-0.3308876817384294,-0.4964034470595059,-0.4997394625513663,-0.45220071663659395,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
