Country,Zone name,Zone id,year,month,Carbon intensity gCO₂eq/kWh (direct)_mean,Carbon intensity gCO₂eq/kWh (direct)_sum,Carbon intensity gCO₂eq/kWh (Life cycle)_mean,Carbon intensity gCO₂eq/kWh (Life cycle)_sum,Carbon-free energy percentage (CFE%)_mean,Carbon-free energy percentage (CFE%)_sum,Renewable energy percentage (RE%)_mean,Renewable energy percentage (RE%)_sum,Data estimated_mean,Data estimated_sum,estimated_hour_flag_mean,estimated_hour_flag_sum,hourly_row_count_mean,hourly_row_count_sum,estimated_hour_share_mean,estimated_hour_share_sum,hour_mean,hour_sum,day_of_week_mean,day_of_week_sum,is_weekend_mean,is_weekend_sum,month_mean,month_sum,day_mean,day_sum,life_cycle_gap_mean,life_cycle_gap_sum,non_renewable_clean_gap_mean,non_renewable_clean_gap_sum,renewable_share_within_cfe_mean,renewable_share_within_cfe_sum,iqr_outlier_count_mean,iqr_outlier_count_sum,zscore_outlier_count_mean,zscore_outlier_count_sum,isolation_forest_flag_mean,isolation_forest_flag_sum,outlier_consensus_count_mean,outlier_consensus_count_sum,outlier_consensus_flag_mean,outlier_consensus_flag_sum,year_mean,year_sum,row_count_count
Kosovo,Kosovo,XK,2021,11,677.7882083333334,20333.64625,734.2050972222222,22026.152916666666,10.414541666666667,312.43625,9.028194444444445,270.84583333333336,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,2.8333333333333335,85,0.26666666666666666,8,11.0,330,15.5,465,56.41688888888889,1692.5066666666667,1.3863472222222224,41.59041666666667,0.860213850571545,25.80641551714635,0.03333333333333333,1,0.0,0,0.0,0,0.03333333333333333,1,0.0,0,2021.0,60630,30
Kosovo,Kosovo,XK,2021,12,558.0104301075269,17298.323333333334,608.5214650537634,18864.165416666667,25.31909946236559,784.8920833333333,23.673911290322582,733.89125,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,3.0,93,0.25806451612903225,8,12.0,372,16.0,496,50.511034946236556,1565.8420833333332,1.6451881720430113,51.00083333333335,0.9291983952832418,28.805150253780496,0.03225806451612903,1,0.0,0,0.16129032258064516,5,0.1935483870967742,6,0.03225806451612903,1,2021.0,62651,31
Kosovo,Kosovo,XK,2022,1,579.2105107526882,17955.525833333333,630.363561827957,19541.270416666666,23.15741935483871,717.88,21.051438172043014,652.5945833333334,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,3.064516129032258,95,0.3225806451612903,10,1.0,31,16.0,496,51.15305107526881,1585.7445833333331,2.105981182795699,65.28541666666666,0.9081209645482248,28.151749900994968,0.06451612903225806,2,0.0,0,0.0967741935483871,3,0.16129032258064516,5,0.06451612903225806,2,2022.0,62682,31
Kosovo,Kosovo,XK,2022,2,640.701369047619,17939.638333333332,694.9273065476191,19457.964583333334,15.355505952380952,429.95416666666665,13.710758928571428,383.90125,0.0,0.0,0.0,0,24.0,672,0.0,0.0,0.0,0,3.0,84,0.2857142857142857,8,2.0,56,14.5,406,54.22593750000001,1518.3262500000003,1.6447470238095236,46.05291666666666,0.8828176398678537,24.7188939162999,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022.0,56616,28
Kosovo,Kosovo,XK,2022,3,663.907311827957,20581.126666666667,720.5224865591398,22336.197083333333,11.841411290322581,367.08375,10.411236559139786,322.74833333333333,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,2.903225806451613,90,0.25806451612903225,8,3.0,93,16.0,496,56.615174731182805,1755.070416666667,1.430174731182796,44.335416666666674,0.8711648391230972,27.006110012816013,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022.0,62682,31
Kosovo,Kosovo,XK,2022,4,666.4521944444444,19993.565833333334,720.6196111111111,21618.588333333333,12.54476388888889,376.34291666666667,11.30625,339.1875,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,3.1,93,0.3,9,4.0,120,15.5,465,54.16741666666666,1625.0224999999998,1.2385138888888887,37.15541666666666,0.8987885016289651,26.96365504886895,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022.0,60660,30
Kosovo,Kosovo,XK,2022,5,663.3393548387097,20563.52,717.6218413978495,22246.277083333334,13.03877688172043,404.20208333333335,11.732782258064516,363.71625,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,2.935483870967742,91,0.2903225806451613,9,5.0,155,16.0,496,54.28248655913979,1682.7570833333334,1.3059946236559143,40.485833333333346,0.9008982201853734,27.927844825746575,0.03225806451612903,1,0.0,0,0.0,0,0.03225806451612903,1,0.0,0,2022.0,62682,31
Kosovo,Kosovo,XK,2022,6,670.7075000000001,20121.225000000002,725.8684305555556,21776.052916666667,11.944347222222223,358.3304166666667,9.85213888888889,295.56416666666667,0.0,0.0,0.0,0,24.0,720,0.0,0.0,0.0,0,2.966666666666667,89,0.26666666666666666,8,6.0,180,15.5,465,55.16093055555555,1654.8279166666666,2.0922083333333332,62.76625,0.8278489266685937,24.83546780005781,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2022.0,60660,30
Kosovo,Kosovo,XK,2022,7,634.908561827957,19682.165416666667,688.3398521505376,21338.535416666666,16.41728494623656,508.93583333333333,13.2177688172043,409.75083333333333,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,3.193548387096774,99,0.3225806451612903,10,7.0,217,16.0,496,53.43129032258066,1656.3700000000003,3.1995161290322582,99.185,0.8068054707508522,25.010969593276418,0.41935483870967744,13,0.0967741935483871,3,0.06451612903225806,2,0.5161290322580645,16,0.0967741935483871,3,2022.0,62682,31
Kosovo,Kosovo,XK,2022,8,622.9204166666667,19310.532916666667,680.8844623655915,21107.418333333335,16.10994623655914,499.40833333333336,13.209919354838709,409.5075,0.0,0.0,0.0,0,24.0,744,0.0,0.0,0.0,0,2.806451612903226,87,0.25806451612903225,8,8.0,248,16.0,496,57.96404569892474,1796.885416666667,2.9000268817204304,89.90083333333334,0.8137215580935416,25.22536830089979,0.3870967741935484,12,0.12903225806451613,4,0.06451612903225806,2,0.4838709677419355,15,0.12903225806451613,4,2022.0,62682,31
